id,name,hazardous,absolute_magnitude,diameter_min_m,diameter_max_m,diameter_avg_m,size_category,close_approach_date,year,month,day,velocity_kmh,velocity_kps,miss_distance_km,miss_distance_ld,very_close,risk_score,impact_energy,orbiting_body,nasa_jpl_url,risk_rank
3617076,(2012 VC26),False,28.7,4.8367648822,10.8153350678,7.826049975,Small,2025-02-27,2025,2,27,25676.1943632445,7.132276212,33769070.836367175,87.8098635719,False,0.005950509601767353,12191416330.628115,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3617076,1615.0
3745029,(2016 EG1),False,29.1,4.0230457983,8.9958038817,6.50942484,Small,2025-02-27,2025,2,27,55215.245153236,15.3375680981,18913001.92457134,49.1795621733,False,0.019003830792203035,32442242248.33674,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3745029,1380.0
3748560,(2016 GE1),False,26.7,12.14940408,27.1668934089,19.65814874445,Small,2025-02-27,2025,2,27,74821.2311919312,20.7836753311,61737703.72355964,160.5368228068,False,0.02382412696461494,1640750532756.1028,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3748560,1302.0
3802437,(2018 GC2),False,26.8,11.6025908209,25.9441817907,18.7733863058,Small,2025-02-27,2025,2,27,65878.9563192455,18.2997100887,73269220.78353204,190.522277388,False,0.016879817789492525,1107863550327.811,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3802437,1405.0
3843427,(2019 OV3),False,24.26,37.3727431914,83.5679942816,60.47036873649999,Medium,2025-02-27,2025,2,27,54597.1627004116,15.1658785279,59048541.50799014,153.544182458,False,0.0559118053748005,25429217781603.266,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3843427,960.0
3447919,(2009 DE1),False,24.55,32.7005439282,73.1206391247,52.910591526450006,Medium,2025-02-26,2025,2,26,65861.1904307742,18.2947751197,2508262.038457094,6.5222448218,False,1.3893104033388817,24788600360538.824,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3447919,122.0
3607626,(2012 PK24),False,23.64,49.7227312909,111.1834071935,80.4530692422,Medium,2025-02-26,2025,2,26,79570.7907561889,22.1029974323,53345755.91714449,138.7152039783,False,0.12000419205432727,127203833990744.6,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3607626,694.0
3673598,(2014 LZ20),False,24.46,34.084346887,76.214916608,55.149631747499996,Medium,2025-02-26,2025,2,26,34745.0328892897,9.6513980248,62559063.01978583,162.672607001,False,0.030629866823501908,7812289122888.577,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3673598,1196.0
3693267,(2014 TC36),False,25.0,26.58,59.4346868419,43.00734342095,Small,2025-02-26,2025,2,26,52491.5037745931,14.5809732707,61269520.13523746,159.3194029608,False,0.03684572891273011,8456115038626.249,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3693267,1131.0
3733138,(2015 VK1),False,26.6,12.7219878539,28.4472296503,20.5846087521,Small,2025-02-26,2025,2,26,77965.4078253569,21.6570577293,43424729.90960568,112.9175163713,False,0.03695791360415305,2045487186463.3638,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3733138,1130.0
